,generation,fitness,cross_over,pop_gen_used,image_size
0,0,197.448148877,crossover_1,random_image_array_1,"(200, 200)"
1,100,109.342532084,crossover_1,random_image_array_1,"(200, 200)"
2,200,91.9297671582,crossover_1,random_image_array_1,"(200, 200)"
3,300,85.599894966,crossover_1,random_image_array_1,"(200, 200)"
4,400,84.8455154468,crossover_1,random_image_array_1,"(200, 200)"
5,500,82.2847560376,crossover_1,random_image_array_1,"(200, 200)"
6,600,81.4483405995,crossover_1,random_image_array_1,"(200, 200)"
7,700,81.0350705858,crossover_1,random_image_array_1,"(200, 200)"
8,800,80.2696346489,crossover_1,random_image_array_1,"(200, 200)"
9,900,79.5288691385,crossover_1,random_image_array_1,"(200, 200)"
10,1000,78.5688998206,crossover_1,random_image_array_1,"(200, 200)"
11,1100,78.4409229508,crossover_1,random_image_array_1,"(200, 200)"
12,1200,76.66286141,crossover_1,random_image_array_1,"(200, 200)"
13,1300,76.5131401667,crossover_1,random_image_array_1,"(200, 200)"
14,1400,76.4786144888,crossover_1,random_image_array_1,"(200, 200)"
15,1500,76.4240781701,crossover_1,random_image_array_1,"(200, 200)"
16,1600,75.3210089821,crossover_1,random_image_array_1,"(200, 200)"
17,1700,72.2416405814,crossover_1,random_image_array_1,"(200, 200)"
18,1800,72.0437240675,crossover_1,random_image_array_1,"(200, 200)"
19,1900,71.1201580242,crossover_1,random_image_array_1,"(200, 200)"
20,2000,71.1181458731,crossover_1,random_image_array_1,"(200, 200)"
21,2100,71.0732496214,crossover_1,random_image_array_1,"(200, 200)"
22,2200,70.807159799,crossover_1,random_image_array_1,"(200, 200)"
23,2300,70.7961640307,crossover_1,random_image_array_1,"(200, 200)"
24,2400,70.5569340802,crossover_1,random_image_array_1,"(200, 200)"
25,2500,70.2834292267,crossover_1,random_image_array_1,"(200, 200)"
26,2600,69.9524241246,crossover_1,random_image_array_1,"(200, 200)"
27,2700,69.9450875517,crossover_1,random_image_array_1,"(200, 200)"
28,2800,69.8714017764,crossover_1,random_image_array_1,"(200, 200)"
29,2900,69.8714017764,crossover_1,random_image_array_1,"(200, 200)"
30,3000,69.7681022165,crossover_1,random_image_array_1,"(200, 200)"
31,3100,69.7489313687,crossover_1,random_image_array_1,"(200, 200)"
32,3200,69.3794453375,crossover_1,random_image_array_1,"(200, 200)"
33,3300,69.3311689621,crossover_1,random_image_array_1,"(200, 200)"
34,3400,69.327962753,crossover_1,random_image_array_1,"(200, 200)"
35,3500,69.2284546846,crossover_1,random_image_array_1,"(200, 200)"
36,3600,69.1603289507,crossover_1,random_image_array_1,"(200, 200)"
37,3700,68.937969565,crossover_1,random_image_array_1,"(200, 200)"
38,3800,68.8124492204,crossover_1,random_image_array_1,"(200, 200)"
39,3900,68.8124492204,crossover_1,random_image_array_1,"(200, 200)"
40,4000,67.9833335091,crossover_1,random_image_array_1,"(200, 200)"
41,4100,67.8293719563,crossover_1,random_image_array_1,"(200, 200)"
42,4200,67.815847215,crossover_1,random_image_array_1,"(200, 200)"
43,4300,66.3939611755,crossover_1,random_image_array_1,"(200, 200)"
44,4400,66.0852227652,crossover_1,random_image_array_1,"(200, 200)"
45,4500,66.0852227652,crossover_1,random_image_array_1,"(200, 200)"
46,4600,65.9908145238,crossover_1,random_image_array_1,"(200, 200)"
